i	n	method	time	mu_1	mu_2	mu_3	mu_4	mu_1_ci_l	mu_2_ci_l	mu_3_ci_l	mu_4_ci_l	mu_1_ci_u	mu_2_ci_u	mu_3_ci_u	mu_4_ci_u	mu_1_bias	mu_2_bias	mu_3_bias	mu_4_bias	mu_1_coverage	mu_2_coverage	mu_3_coverage	mu_4_coverage	coverage
31	1000	cavi	0.0520000000000067	-0.0160059861990704	4.88910472192083	9.84043113408378	19.9476919018879	-0.139605721497968	4.76427136138514	9.71622518187432	19.8254304610237	0.107593749099828	5.01393808245651	9.96463708629324	20.069953342752	-0.0160059861990704	-0.11089527807917	-0.159568865916221	-0.0523080981120998	TRUE	TRUE	FALSE	TRUE	FALSE
32	1000	gibbs	78.272	0.0311280003395103	4.96633233616194	9.89128871838213	19.8736223076683	-0.102853189273835	4.82888020639213	9.76545152181653	19.7517728546322	0.161482031259649	5.1027628363454	10.0170730473133	19.991429342006	0.0311280003395103	-0.0336676638380604	-0.10871128161787	-0.126377692331701	TRUE	TRUE	TRUE	FALSE	FALSE
32	1000	cavi	0.349999999999994	1.60287405652276	8.85135298683033	19.4716613570828	20.1032890290113	1.50135829694325	8.74676964084482	19.3022261071177	19.9411809861914	1.70438981610228	8.95593633281585	19.6410966070479	20.2653970718312	1.60287405652276	3.85135298683033	9.4716613570828	0.1032890290113	FALSE	FALSE	FALSE	TRUE	FALSE
33	1000	gibbs	78.349	-0.00940376468454116	5.12350111064462	10.0126794245026	19.8860711252113	-0.130221823934301	4.98831901314031	9.88561183625801	19.7607839274658	0.117513134087666	5.25659167109863	10.1391631120255	20.0106195940895	-0.00940376468454116	0.12350111064462	0.0126794245026005	-0.113928874788702	TRUE	TRUE	TRUE	TRUE	TRUE
33	1000	cavi	0.0489999999999924	-0.00960157452611606	5.12379774385541	10.01234901263	19.8860387334487	-0.13149941248645	4.99720135243869	9.88732392124223	19.7644846935507	0.112296263434218	5.25039413527212	10.1373741040178	20.0075927733467	-0.00960157452611606	0.12379774385541	0.0123490126300005	-0.1139612665513	TRUE	TRUE	TRUE	TRUE	TRUE
34	1000	gibbs	79.141	-0.0108991429728408	5.06864648612581	9.9961581130671	19.9063057987081	-0.134950077133732	4.93072899777515	9.85893740929866	19.788591305845	0.111213347229627	5.20139014517175	10.1331293830864	20.0277154296385	-0.0108991429728408	0.06864648612581	-0.0038418869329	-0.0936942012918998	TRUE	TRUE	TRUE	TRUE	TRUE
34	1000	cavi	0.0499999999999972	-0.0112975013599374	5.06956835356973	9.99686574782322	19.9064444387857	-0.129121139474058	4.94431432679205	9.86717800458368	19.7834631009901	0.106526136754183	5.19482238034742	10.1265534910628	20.0294257765813	-0.0112975013599374	0.0695683535697302	-0.00313425217678009	-0.0935555612142984	TRUE	TRUE	TRUE	TRUE	TRUE
35	1000	gibbs	77.988	-0.0126458735953287	4.95943467329619	9.89487981837294	19.8236903876929	-0.149816919416031	4.83078309239303	9.76792085238351	19.6993215182701	0.123203967553922	5.0894583087877	10.0219353220456	19.9476427081484	-0.0126458735953287	-0.0405653267038097	-0.105120181627059	-0.176309612307101	TRUE	TRUE	TRUE	FALSE	FALSE
35	1000	cavi	0.0529999999999973	-0.0107845010535387	4.9601238513701	9.89519932697624	19.8233293458767	-0.141543123842102	4.83825419194283	9.77309488421601	19.702470568345	0.119974121735025	5.08199351079737	10.0173037697365	19.9441881234084	-0.0107845010535387	-0.0398761486299	-0.10480067302376	-0.176670654123299	TRUE	TRUE	TRUE	FALSE	FALSE
36	1000	gibbs	77.921	0.0769007026183702	4.96714640545441	9.94219217100437	19.9184656070966	-0.052798673283067	4.83253804698007	9.8105865055558	19.795563585978	0.206252309384013	5.10065763359355	10.0719475231777	20.0357972688721	0.0769007026183702	-0.0328535945455899	-0.0578078289956299	-0.0815343929034	TRUE	TRUE	TRUE	TRUE	TRUE
